asn_destino,asn_upstream,frequencia
150768,38855,2
7538,24429,2
212358,24482,2
212358,38855,2
18041,137409,2
17415,24482,2
17415,38855,2
131659,4780,2
38842,131659,2
38254,24482,2
38254,38855,2
150770,24482,2
150770,55720,2
203843,24482,2
203843,38855,2
9244,55720,2
45250,38001,2
45250,17639,2
131638,24482,2
4780,983,2
18040,24482,2
18044,18041,2
150771,24482,2
150771,38855,2
55789,55720,2
17408,33891,2
18041,10133,2
9676,9924,2
204934,56662,2
150767,134823,2
4780,9924,2
216198,204092,2
216198,24482,2
142046,24482,2
212154,34549,2
205329,29632,2
205329,58057,2
18411,24482,1
18411,55720,1
9680,7575,1
9680,17639,1
9680,24482,1
131605,55720,1
18180,210919,1
9924,137409,1
38853,24482,1
38853,55720,1
4780,7481,1
9917,24482,1
9917,55720,1
152615,20473,1
152615,55720,1
10135,9924,1
142005,38001,1
142005,8966,1
142005,17639,1
142005,24482,1
131642,9505,1
9915,10133,1
9915,24482,1
9915,55720,1
150137,24482,1
150137,55720,1
131659,60068,1
131659,24482,1
131659,55720,1
38852,18041,1
38852,24482,1
38852,38855,1
9920,10133,1
9920,24482,1
131599,3462,1
17408,137409,1
131596,38855,1
63900,55720,1
131638,137409,1
131638,55720,1
18040,55720,1
17718,10133,1
17718,24482,1
17718,55720,1
142046,18041,1
150771,55720,1
150766,137409,1
63909,24482,1
63909,55720,1
131630,10133,1
45250,21859,1
131681,9924,1
4780,8966,1
134094,52025,1
134823,18041,1
17408,37721,1
17408,1836,1
17408,48362,1
17408,212024,1
17408,34019,1
17408,12859,1
17408,12779,1
17408,20485,1
45250,8359,1
18182,137409,1
18422,9264,1
9264,61292,1
199203,142046,1
199203,24482,1
199203,38855,1
212360,24482,1
212360,38855,1
214030,56662,1
202820,24482,1
202820,38855,1
18046,35280,1
152619,17408,1
134094,34927,1
198954,216123,1
205329,394256,1
205329,9002,1
205329,202365,1
205329,204092,1
205329,56662,1
205329,3333,1
205329,48185,1
203843,137409,1
