asn_destino,asn_upstream,frequencia,pais_upstream
17408,212024,1,Desconhecido
17408,34019,1,Desconhecido
17408,12859,1,Desconhecido
17408,12779,1,Desconhecido
17408,20485,1,Desconhecido
45250,8359,1,Desconhecido
18182,137409,1,AU
18422,9264,1,TW
9264,61292,1,Desconhecido
199203,142046,1,TW
199203,24482,1,SG
199203,38855,1,TW
212360,24482,1,SG
212360,38855,1,TW
214030,56662,1,Desconhecido
202820,24482,1,SG
202820,38855,1,TW
18046,35280,1,Desconhecido
152619,17408,1,TW
134094,34927,1,Desconhecido
198954,216123,1,Desconhecido
205329,394256,1,Desconhecido
205329,9002,1,Desconhecido
205329,202365,1,Desconhecido
205329,204092,1,Desconhecido
205329,56662,1,Desconhecido
205329,3333,1,Desconhecido
205329,48185,1,Desconhecido
203843,137409,1,AU
