asn_destino,asn_upstream,frequencia,pais_upstream
18180,210919,1,Desconhecido
9924,137409,1,AU
38853,24482,1,SG
38853,55720,1,MY
9917,24482,1,SG
9917,55720,1,MY
152615,20473,1,US
152615,55720,1,MY
142005,38001,1,SG
142005,8966,1,Desconhecido
142005,17639,1,PH
142005,24482,1,SG
9915,24482,1,SG
9915,55720,1,MY
150137,24482,1,SG
150137,55720,1,MY
131659,60068,1,Desconhecido
131659,24482,1,SG
131659,55720,1,MY
38852,24482,1,SG
9920,24482,1,SG
17408,137409,1,AU
63900,55720,1,MY
131638,137409,1,AU
131638,55720,1,MY
18040,55720,1,MY
17718,24482,1,SG
17718,55720,1,MY
150771,55720,1,MY
150766,137409,1,AU
63909,24482,1,SG
63909,55720,1,MY
45250,21859,1,US
4780,8966,1,Desconhecido
134094,52025,1,Desconhecido
17408,37721,1,Desconhecido
17408,1836,1,Desconhecido
17408,48362,1,Desconhecido
17408,212024,1,Desconhecido
17408,34019,1,Desconhecido
17408,12859,1,Desconhecido
17408,12779,1,Desconhecido
17408,20485,1,Desconhecido
45250,8359,1,Desconhecido
18182,137409,1,AU
9264,61292,1,Desconhecido
199203,24482,1,SG
212360,24482,1,SG
214030,56662,1,Desconhecido
202820,24482,1,SG
18046,35280,1,Desconhecido
134094,34927,1,Desconhecido
198954,216123,1,Desconhecido
205329,394256,1,Desconhecido
205329,9002,1,GB
205329,202365,1,Desconhecido
205329,204092,1,Desconhecido
205329,56662,1,Desconhecido
205329,3333,1,Desconhecido
205329,48185,1,Desconhecido
203843,137409,1,AU
